السؤال,الإجابة
هل الشمس نجم؟,نعم
هل الأرض تدور حول القمر؟,لا
هل الماء يتجمد عندما نسخنه؟,لا
هل القلب هو العضو الذي يضخ الدم؟,نعم
هل الحديد يطفو فوق الماء؟,لا
هل مصر في قارة أفريقيا؟,نعم
هل عدد الكواكب عشرة؟,لا
هل النبات يحتاج شمس وماء ليعيش؟,نعم
هل الصوت ينتقل في الفراغ؟,لا
هل القطب الشمالي بارد جداً؟,نعم
هل الإنسان لديه خمس حواس؟,نعم
هل النملة لديها جناحين؟,نعم
هل الطائرة أسرع من السيارة؟,نعم
هل الكواكب تنور بنفسها؟,لا
هل الجاذبية تجذب الأشياء نحو الأرض؟,نعم
هل الفيل يمكن أن يعيش في البحر؟,لا
هل القراءة تزيد المعرفة؟,نعم
هل البترول يخرج من تحت الأرض؟,نعم
هل الثعبان لديه رجلين؟,لا
هل الكمبيوتر يمكن الكتابة عليه؟,نعم
هل الثعلب طائر؟,لا
هل الإنسان يعيش بدون هواء؟,لا
هل القارة أكبر من الدولة؟,نعم
هل القمر ينور من ضوء الشمس؟,نعم
هل الكهرباء تسري في الأسلاك؟,نعم
هل النبات يأخذ أكسجين في الليل؟,نعم
هل المريخ يسمى الكوكب الأحمر؟,نعم
هل الحديد يتحول إلى بخار عندما نسخنه؟,لا
هل الشخص الذي يرسم نسميه فنان؟,نعم
هل الحوت سمكة؟,لا
هل النيل أطول نهر في العالم؟,نعم
هل البطريق يعيش في الصحراء؟,لا
هل المطر يأتي من السحاب؟,نعم
هل القلب في الجانب الأيمن؟,لا
هل الورق يصنع من الخشب؟,نعم
هل الرياح دائماً دافئة؟,لا
هل النحل يعيش في بيت يسمى خلية؟,نعم
هل النار تحتاج هواء لتشتعل؟,نعم
هل الكمبيوتر أقدم من التلفزيون؟,لا
هل للقمر وجه واحد يظهر لنا؟,نعم
هل الضوء أسرع من الصوت؟,نعم
هل الحديد يمكن قطعه بالمقص؟,لا
هل الإنسان لديه ثلاث عيون؟,لا
هل المياه المالحة في البحر؟,نعم
هل الكلاب تشم جيداً؟,نعم
هل القطط نباتات؟,لا
هل النهار يأتي عندما تشرق الشمس؟,نعم
هل المريخ أقرب كوكب للشمس؟,لا
هل الموز فاكهة؟,نعم
هل الثلج ساخن؟,لا
هل العنكبوت لديه ثمانية أرجل؟,نعم
هل البحر الميت فيه أسماك؟,لا
هل الكلاب تتكلم مثلنا؟,لا
هل جسم الإنسان فيه عظام؟,نعم
هل الكهرباء نراها بعيوننا دائماً؟,لا
هل الإنسان يشرب ماء ليعيش؟,نعم
هل القطب الجنوبي حار جداً؟,لا
هل الوردة تعيش بدون ماء؟,لا
هل الكائنات تتنفس أكسجين؟,نعم
هل الطائرة تطير في الهواء؟,نعم
هل الصحراء فيها مطر كثير؟,لا
هل الإنسان لديه مخ؟,نعم
هل الكتاب نسمعه لا نقرأه؟,لا
هل الطائرة أخف من الهواء؟,لا
هل الجمل يمكن أن يعيش بدون ماء لفترة؟,نعم
هل الفيل لديه خرطوم؟,نعم
هل النحلة تنتج عسل؟,نعم
هل الكهرباء يمكن أن تكون خطيرة؟,نعم
هل الشمس تغرب في الشرق؟,لا
هل الشجرة تعطي أكسجين؟,نعم
هل السمك ينام؟,نعم
هل الورق يشتعل بالنار؟,نعم
هل الإنسان يمكن أن يعيش في الماء طوال الوقت؟,لا
هل الموز يزرع في الثلج؟,لا
هل الأذن نسمع بها؟,نعم
هل الإنسان يمكن أن يعيش بدون نوم؟,لا
هل لون السماء بنفسجي دائماً؟,لا
هل الزلازل تحرك الأرض؟,نعم
هل الطبيب يعالج المرضى؟,نعم
هل المهندس يصلح السيارات؟,لا
هل الشمس أكبر من الأرض؟,نعم
هل البحر أصغر من النهر؟,لا
هل الكلب يفهم بعض الأوامر؟,نعم
هل الكهرباء موجودة في الطبيعة؟,نعم
هل الطعام الفاسد صحي؟,لا
هل الإنسان يمكن أن يعيش في الفضاء بدون بدلة؟,لا
هل بعض الطيور لا تطير؟,نعم
هل الإنسان يتنفس ثاني أكسيد الكربون؟,لا
هل النوم مفيد للجسم؟,نعم
هل الحديد أقوى من الورق؟,نعم
هل النار تنور؟,نعم
هل الكتاب يتكلم؟,لا
هل الفيل لديه جناحات؟,لا
هل ماء الشرب يجب أن يكون نظيفاً؟,نعم
هل الفضاء فيه هواء؟,لا
هل اللبن يصنع من النحل؟,لا
هل الكمبيوتر يحتاج كهرباء؟,نعم
هل البرد يجعل الجسم يتعب؟,نعم
هل الأرض مسطحة؟,لا
هل العلم مفيد لكل الناس؟,نعم
